MSU	Symbol	Keyword
LOC_Os01g42700	SIDP361	salt; salt stress; salt tolerance; seedling; stress; tolerance
LOC_Os01g42710	OsLOL2	bacterial blight; blight; disease; disease resistance; dwarf; gibberellin; growth; resistant
LOC_Os01g42850	OsATG7	anther; anther development; pollen; pollen development; tapetum
LOC_Os01g42860	OCPI1	drought; drought resistance; grain; grain yield; growth; salt; salt stress; seed; yield
LOC_Os01g42950	OsSCYL2	R protein; cell death; resistance
LOC_Os01g43250	OsSEH1	 ABA ; ABA; cold; cold stress; cold tolerance; defense; defense response; flavonoid; stress; tolerance
LOC_Os01g43380	OsCUGT1	cytokinin; development; dwarf; fertility; height; plant height; pollen; pollen development; spikelet; sterility
LOC_Os01g43540	OsSGT1	auxin; bacterial blight; blast; blight; cell cycle; disease; disease resistance; magnaporthe oryzae; meristem; root; shoot; shoot apical meristem
LOC_Os01g43610	OsOFP2	GA; Gibberellin; development; ga; gibberellin; gibberellin biosynthesis; height; leaf; nucleus; seed; vascular bundle; vascular development
LOC_Os01g43650	OsWRKY11	abiotic stress; biotic stress; defense; defense response; drought; drought stress; drought tolerance; pathogen; resistance; seedling; stress; stress response; tolerance; transcription factor
LOC_Os01g44220	GIF2|OsAGPL2|OsAPL2|osagpl2-3	branching; domestication; endosperm; grain; grain filling; grain weight; leaf; pyrophosphorylase; seed; seed development; starch; starch biosynthesis; temperature; yield
LOC_Os01g44260	OsA1|OsDfr	grain; grain yield; salt; seedling; transcription factor; yield
LOC_Os01g45070	OsPDF1B	chloroplast; mitochondria; root
LOC_Os01g45090	OsMYB305	cellulose; growth; nitrate; nitrogen; root; shoot; tiller; tiller number; transcription factor; transcriptional activator
LOC_Os01g45190	OsRH2	development; growth; plant height; reproductive; seed; seed development; seedlings; tapetum
LOC_Os01g45200	Snl6	Xoo; resistance
LOC_Os01g45274	OsCA1|OsbetaCA1	root; salt; salt tolerance; seedling
LOC_Os01g45550	OsPIN3t	 sa ; SA; auxin; auxin transport; crown; crown root; drought; drought tolerance; ethylene; growth; root; root growth; sa; salicylic acid; seedling; seedlings; transporter
